Stock Code,Name
1413,KWONG LUEN ENG
1696,SISRAM MED
716,SINGAMAS CONT
536,TRADELINK
8007,GLOBALSTRAT
1375,CC SECURITIES
1980,TIANGE
107,SICHUAN EXPRESS
2453,CONCORD HC GP
1508,CHINA RE
2347,YOHO GROUP
2633,JACOBSON PHARMA
1795,YADONG GROUP
2237,CHINA GRAPHITE
80020,SENSETIME-WR
1283,ACCEL GROUP
542,CN CULTURAL T&A
362,C ZENITH CHEM
1373,IH RETAIL
1723,HK ASIA HLDGS
8229,FUTURE DATA
3315,GOLDPAC GROUP
119,POLY PROPERTY
86,SUN HUNG KAI CO
698,TONGDA GROUP
579,JNCEC
6088,FIT HON TENG
2779,CH XINHUA EDU
752,PICO FAR EAST
1528,RS MACALLINE
667,CHINA EAST EDU
2866,COSCO SHIP DEV
2373,BEAUTYFARM MED
3958,DFZQ
769,CHINA RAREEARTH
3893,CROSSTEC
1755,S-ENJOY SERVICE
82388,BOC HONG KONG-R
6698,STAR CM
743,ASIA CEMENT CH
9911,NEWBORNTOWN
1200,MIDLAND HOLDING
3737,ZHONGZHIPHARM
8130,DADI INTL GROUP
2219,CHAOJU EYE CARE
2153,TAT HONG EQUIP
1894,HANG YICK HLDGS
2789,YUANDA CHINA
2068,CHALIECO
1576,QILU EXPRESSWAY
2198,CHINA SANJIANG
603,CHINA OIL & GAS
951,CHAOWEI POWER
80016,SHK PPT-R
1238,POWERLONG
1023,SITOY GROUP
80175,GEELY AUTO-R
8195,LEGENDARY EDU
931,CHINA HK POWER
2877,SHINEWAY PHARM
6158,ZHENRO PPT
9669,BEISEN HOLDING
2130,CN LOGISTICS
1100,MAINLAND HOLD
2722,CHONGQING M&E
1858,CHUNLI MEDICAL
3638,HUABANG TECH
9666,JINKE SERVICES
460,SIHUAN PHARM
1655,OKURA HOLDINGS
88,TAI CHEUNG HOLD
3833,XINXIN MINING
3681,SINOMAB BIO-B
9955,CLOUDR
1588,CHANJET
1442,INFINITY L&T
2552,HUA MEDICINE-B
6896,GOLDEN THROAT
1176,ZHUGUANG HOLD
548,SHENZHENEXPRESS
8513,MAXWIN INT HLDG
1848,CALC
2427,GUANZE MEDICAL
1029,IRC
204,CAPITAL REALM
3818,CHINA DONGXIANG
315,SMARTONE TELE
2738,HUAJIN INTL
8428,CBK HOLDINGS
108,GR LIFE STYLE
6601,CHEERWIN GP
515,CHINASILVER TEC
182,CONCORD NE
1483,NET-A-GO TECH
8368,CREATIVE CHINA
41,GREAT EAGLE H
82,CRAZY SPORTS
9991,BAOZUN-W
2451,LUYUAN GP HLDG
6996,ANTENGENE-B
1205,CITIC RESOURCES
1033,SINOPEC SSC
423,HKET HOLDINGS
2148,VESYNC
838,EVA HOLDINGS
3303,JUTAL OIL SER
1084,GF HYDROCOLLOID
1981,CATHAY EDU
82333,GREATWALL MOTOR
650,PRODUCTIVE TECH
6123,YTO INTL EXP
1802,WENYE GROUP
1419,HUMAN HEALTH
535,GEMDALE PPT
2195,UNITY ENT
2390,ZHIHU-W
9913,CHI KAN HLDGS
1586,LEON INSPECTION
1812,CHENMING PAPER
235,CSC HOLDINGS
1796,YIELD GO HLDGS
2302,CNNC INT'L
2119,TSIT WING INTL
458,TRISTATE HOLD
1780,B & D STRATEGIC
9990,ARCHOSAUR GAMES
6667,MEGA GENOMICS
2496,YZYBIO-B
3399,YUEYUN TRANS
862,VISION VALUES
2415,MEDSCI
240,BUILD KING HOLD
533,GOLDLION HOLD
133,CHINA MERCHANTS
2521,SHENGHUI CLEAN
3798,HOMELAND ITL
837,CARPENTER TAN
6639,ARRAIL GROUP
2011,CHINA APEX GP
1180,PARADISE ENT
6959,CHANGJIU HLDGS
1183,MECOM POWER
8095,BEIDA JADE BIRD
127,CHINESE EST H
1871,CHINA ORIENTED
1906,BONNY HLDG
3678,HOLLY FUTURES
1753,DUIBA
6885,JINMA ENERGY
1809,PRINX CHENGSHAN
1461,ZHONGTAIFUTURES
1875,TOT BIOPHARM-B
1901,FEIYANG GROUP
1982,NAMESON HLDGS
593,DREAMEAST
2727,SH ELECTRIC
1596,YICHEN IND
2246,GOGOX
568,SHANDONG MOLONG
254,NUR HOLDINGS
1080,SHENGLI PIPE
2369,COOLPAD GROUP
1223,SYMPHONY HOLD
6696,MANY IDEA CLOUD
571,ESUN HOLDINGS
9982,CENTRALCHINA MT
1345,SH PIONEER HLDG
2501,MAIYUE TECH
434,BOYAA
491,EMPEROR CULTURE
64,GET NICE
3337,ANTON OILFIELD
187,JINGCHENG MAC
1815,CSMALL
1593,CHEN LIN EDU
1650,HYGIEIA GROUP
9869,HELENS
2416,EDIANYUN
8482,WAN LEADER
1257,CEB GREENTECH
1760,INTRON TECH
873,SHIMAO SERVICES
2442,EASY SMART GP
2487,CUTIA-B
6100,TONGDAO LIEPIN
2257,SIRNAOMICS-B
1108,TRIUMPH NEW EN
9600,NEWLINK TECH
976,CHIHO ENV
1252,CHINA TIANRUI
6288,FAST RETAIL-DRS
173,K. WAH INT'L
497,CSI PROPERTIES
8476,OCEAN ONE HLDG
591,C HIGHPRECISION
1830,PERFECT MEDICAL
1661,WISDOM SPORTS
248,HKC INT'L HOLD
